Название,Что за проект (краткое описание),Направление,Откуда лид,Способ оплаты,Формат работы,NDA,Сумма услуг,Дата договора,Дата запуска,Дедлайн,KPI план (мес),"KPI факт
Каждую неделю",Расход на проект в мес (факт),Статус проекта,Спец проекта,Контролирует,Новогодние паузы по почтам,Комментарий от Эльвиры,Комментарий от Ани,Задачи на неделю,"совет, что улучшить",Полные условия по договору,,amoCRM,,,
Akelon,"Российская IT-компания, специализирующаяся на цифровой трансформации бизнеса, которая предоставляет комплексные услуги: от управленческого консалтинга и системной интеграции до внедрения бизнес-приложений и сервисной поддержки.
",Ру,Партнер Колди,Оплата 100%,"Первый запуск (2 мес работы, мин 10 лидов)",,149000,16.10.25,10.11.25,30/01,15,4,,Тест,Ева фрил,Эльвира,18 December,ждем оффер по HR,"запущено, все ок",,,,FALSE,,,,
Chatme.ai,ИИ Агенты и цифровые сотрудники для автоматизации и общения бизнеса,Ру,Аутрич наш,Оплата 100%,Первый запуск (3 месяца),,215000,17.10.25,14.11.25,13.2.26,нет,"13,5 + 2",,На паузе,Глеб фрил,Максим,14 декабря - 5 почт,Пауза,,,,,TRUE,,,,
INK Agency,"3 маркетинговых агентства, занимаются контентом",Ру,Аутрич наш,50% на 50% (предоп и пост),"Первый запуск (2 мес работы, без кпи)",,149000,28.10.25,12.11.25,19.1.26,8.5,6.5,,Тест,Ксюша фрил,Максим,14 December,7300 контактов добить,,,,,FALSE,,,,
MoneyPort,международные переводы для физ и юр лиц,Ру,Тильда,Оплата 100%,Тест (без кпи),,79000,27.10.25,7.11.25,7.12.25,,4,,На паузе,Алина Фрил,Эльвира,30 December,ос сегодня,,,,,FALSE,,,,
Unirate24  / ООО «ЭБК» ,"сервис для проверки сотрудников и контрагентов, который помогает оценивать кредитные и комплаенс-риски.",Ру,Старый клиент,Оплата 100%,Тест (без кпи),,79000,28.10.25,12.11.25,11.12.25,5,5,,Тест,Анна фрил,Максим,,Крутим эту неделю и на звонок,,,,,FALSE,,,,
Europostavka.ru,Выкуп и доставка товаров из Европы.,Ру,Партнер Колди,Оплата 100%,Тест (без кпи),,79000,29.10.25,11.11.25,10.12.25,,9,0,Тест,Анна фрил,Эльвира,,2900,,,,,FALSE,,,,
Дела PR,,Ру,Аутрич наш,Оплата 100%,Тест (без кпи),,79000,29.10.25,13.11.25,12.12.25,за 1 месяц привести 10 квал лидов,,,На паузе,Дмитрий фрил,Эльвира,10.12.2025 - неименные,"Оффер и база согласованы, запуск бы",,,,,FALSE,,,,
АМБ,Консалтинговый проект «Фомичева» — это настройка «белой» системы ВЭД для владельцев товарного бизнеса с выручкой 300 млн в год ,Ру,Партнеры,Оплата 100%,Тест (без кпи),,79000,20/10,25.11.25,18.1.25,,,,Тест,Сергей фрил,Эльвира,21 December,пин по базе,,первый запуск + анализ рынка + звонок с заказчиками +  пройти 1000 контактов хотя бы,коммуникацию и понимание,,FALSE,,,,
ДЭКУЭС,"Тренинги (семинары, вебинары, а также обучения на территории предприятий от 1 до 5 дней) по темам развития систем менеджмента по стандартам ISO.",Ру,Партнер Колди,50% на 50% (предоп и пост),Тест (без кпи),,79000,10/11,19.11.25,19.12.25,,1,,Тест,Мариам фрил,Эльвира,17 December,запуск по логистике делаем и отвечаем на письма,,пройти 1500 контактов (качественных) + отчет + обновить закреп,"отвечать более вдумчиво на письма, шаблоны хороши для новчиков, но нужно понимать кому пишем",,FALSE,,,,
Хлеб.online,продажа вкусного хлеба в Питере,Ру,конфа,50% на 50% (предоп и пост),Тест (без кпи),,149000,10/11,27.11.25,10.2.25,,13,,На паузе,Саша фрил,Эльвира,21 December,пауза,,обновить закреп + отчет + 4 запуска или 1500 контактов,,,FALSE,,,,
ОптоВарка,Оптовая продажа товаров для отдыха и автомобиля,Ру,Лидскан,Оплата 100%,"Первый запуск (2 мес работы, без кпи)",,149000,17/11,27.11.25,13.2.25,,6.5,,На паузе,Дмитрий фрил,Максим,26 December,Пауза с четверга,,,,,FALSE,,,,
SalesAI ,платформа речевой аналитики для SMB. Нейросеть для контроля качества звонков и автоматического заполнения CRM,Ру,Партнер Колди,Оплата 100%,"Первый запуск (2 мес работы, без кпи)",,149000,17/11,10.12.25,1.3.25,,,,Тест,Анна фрил,Максим,20 December,"На этой неделе уходим на паузу./  тенчат. / ABM / Запустили холод, остальное обсудили, Тенчат акк у него получили, настроим. / Договорились на отчетность с использованием их данных по ютмкам и запуски в колди оставляем",,,,,FALSE,,,,
R-Glider,Экранопланы нового поколения на водородном топливе,Eng,,постоплата,Тест (без кпи),,%,,27.11,26.12,,,,Тест,Максим Фрил,Максим,,"Без изменений, было пару ответов",,,,,FALSE,,,,
reelscut,"Съемка, монтаж, дизайн видео",,,Оплата 100%,"Первый запуск (мес работы, мин 5 лидов)",,79.000,21/11,03.12,16.01.2026,,3,#REF!,На паузе,Ксения фрил,Максим,,Пауза,,,,,FALSE,,,,
SNABB,оптовая торговля метизами и инструментом,,,Оплата 100%,"Первый запуск (мес работы, мин 5 лидов)",,84.000,24/11,03.12,16.01.2026,,6,,На паузе,Ксения фрил,Максим,28.12.2025 - пересоздаем,Пауза,,,,,FALSE,,,,
Webtronics,digital- агентство,Ру,конфа,Оплата 100%,Тест (до 5 лидов),,79000,25/11,8/12,31/12,10,3,,Тест,Алина Фрил,Эльвира,,работаем,,закреп+звонок + гипотезы + 3 запуска на 1000 контактов минимум,,,FALSE,,,,
https://sands.studio/,"Студия дизайна: Брендиг, Cайты/ UX/UI/Упаковка и печатные форматы",Ру,Партнеры,Оплата 100%,Тест (до 5 лидов),,79000,26/11,1/12,1/1,5,11,,Тест,Эльвира,Эльвира,,пока не сильно много ответов по продуктам,,закреп + 4 запуска или на 1000 контактов,,,FALSE,,,,
Сделаем,Агентство контент-маркетинга,Ру,Тильда,Оплата 100%,"Первый запуск (мес работы, мин 5 лидов)",,79.000,2/12,15.12,26.01,,1,,На паузе,Ксюша фрил,Максим,,Пауза,,,,,FALSE,,,,
Hansa Group,Питерский застройщик,Ру,Органический,50% на 50% (предоп и пост),Первый запуск (3 месяца),,390 000,не согласован,15.12,,,,0,Подготовка,Алина Фрил,Эльвира,,"созвониться с ними, Мария ушла",,,,,FALSE,,,,
Let’s String! , transforms any photo into a stunning thread-and-nail portrait,Eng,Партнеры,50% на 50% (предоп и пост),"Первый запуск (мес работы, мин 5 лидов)",,1300$,4/12,13.01,13.02,,,#REF!,Подготовка,Анастасия Фрил,Максим,,"Скинули базу и оффер, нужен оффер по линку еще",,,,,FALSE,,,,
Moreland.ru (Старый лид Вадима пришёл / Аутрич(6.12.2024),рыба,Ру,Аутрич наш,Оплата 100%,Тест (без кпи),,79000,8/12,16.12,27.01,без кпи,2,#REF!,Тест,Иван фрил,Эльвира,,посмотреть оффер,,,,,FALSE,,,,
Senator,Продают апартаменты в Питере (Зеленогорске),Ру,Тильда,Оплата 100%,"Первый запуск (2 мес работы, без кпи)",,149000,8/12,17.12,27.02,,1,,Тест,Дмитрий фрил,Максим,,"Есть лид, штатно",,,,,FALSE,,,,
Кредэкс,снг рынок охватываем,Ру,Партнер Колди,Оплата 100%,Тест (без кпи),,79000,15/12,22.12,31.01,без кпи,,,Подготовка,,Эльвира,,пинг сегодня по брифу есть,,,,,FALSE,,,,
Проекты платные,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
TSMedia,репутационное агентство,Ру,Холод Сережа,Оплата 100%,Платный период (кпи),,79000,31.7.25,30.10.25,29.11.25,10,10,0,В работе,Анна фрил,Эльвира,,"гостиницы с низким рейтингом  и базы отдыха, хх ру",довели кпи или нет?,,,,FALSE,,,,
Plan B,согласование 2 дня - 3д моделирование,Ру,Партнер Колди,Оплата 100%,Платный период (кпи),,79000,25.6.25,19.11.25,19.12.25,10,8,#REF!,В работе,Глеб фрил,Эльвира,,Подготовили 2 новые базы,,,,,TRUE,,,,
Victory Group,маркетинговое агенство,Ру,Старый клиент,Оплата 100%,Тест (без кпи),,82500,8.8.25,21.8.25,нет дедлайна проходим 15 000 контактов,без кпи,32,,В работе,Анастасия Фрил,Максим,,Крутим до конца недели,5/13,,,,FALSE,,,,
Rossikhin Arseny (контакт Полины указано при передаче),Архитектурный фотограф (гео Германия),Eng,Партнеры,Оплата 100%,LinkedIn,,89000,20/11,24.11.25,20.02.25,4-8k по линку,,0,В работе,Ксюша фрил,Эльвира,,предложить арсению рекламу,сколько осталось контактов?,,,,FALSE,,,,
Jetstat,Сервис для автоматизации отчетов интернет сервисов,Ру,Старый клиент,Оплата 100%,Платный период (кпи),,149000,9.9.25,16.9.25,16.11.25,40,10.5,380,На паузе,Глеб фрил,Максим,11 декабря - списание - оставляем подписку,Пауза,18,,,,FALSE,"маркетинг, фарма, есть в закрепе","есть 2 дня не согласовываем - запускаемся без них, не было возражений","пришли пару крупняков с наших писем, по телефоны","нужно пинговать по оС по лидам,"
Визардия (в битрикс24),пространство для корпоративных ивентов / организация мероприятий,Ру,Партнеры,50% на 50% (предоп и пост),Платный период (кпи),,79000,11.9.25,4.12.25,22.1.26,,17,,В работе,Анна,Эльвира,22 December,"Передали вчера еще пару лидов, запросила ос",,,,,FALSE,,,,
Staff Line,кадровое агентство,Ру,Аутрич наш,Оплата 100%,Тест (без кпи),,79000,18.9.25,1.12.25,29.1.25,15 - вышедших с ними на связь,3,250,На паузе,Мариам фрил,Эльвира,22.12.2025 - согласовала паузу проекта,Новую базу собрали,,,,,FALSE,,,,
VBI,маркетинговое агентство,Ру,Аутрич наш,Оплата 100%,Платный период (кпи),,149000,16.6.25,17.10.25,16.12.25,10,3.5,,На паузе,Глеб фрил,Максим,22.12.2025 - повысить мощность,Пауза,13/5,,,,FALSE,,,,
https://beautylizersl.ru ,производитель аппаратов для неинвазивной коррекции фигуры,Ру,Рекомендации,Оплата 100%,"Первый запуск (2 мес работы, без кпи)",,149000,4.9.25,4.12.25,20/02,25,10,,В работе,Ксюша фрил,Эльвира,,"Кампанию запустили новую, собираем еще базы",Передавать в форму битрикс,Сделать закреп и первую базу на согласование - ссделано,,,FALSE,,,,
Markway,репутационное агентство,Ру,Партнер Колди,Оплата 100%,Платный период (кпи),,298000,2.7.25,21.10.25,19.12.25,40,36.5,,В работе,Максим Фрил,Максим,23 December,Может Марквей тоже на паузу увести? Реально не отвечают уже,9/9,,,,TRUE,,,,
Марафет (Партнёр Макс Поправко),"Пест-контроль, дезинсекции, дезинфекции и дератизации.
",Ру,Партнеры,Оплата 100%,Платный период (кпи),,79000,3.9.25,17.10.25,16.11.25,10,11,,В работе,Анна фрил,Максим,,Среда 13:00 звонок. Мы идем их считать?,18,,,,FALSE,,,,
Okdesk,"система для управления техподдержкой, выездным сервисом и ТОиР в зрелых компаниях",Ру,Тильда,Оплата 100%,"Первый запуск (2 мес работы, без кпи)",,600000,19.11.25,24.11.25,01/06,300к контактов,6.5,,На паузе,Анна,Максим,,,звонок в чт 11ч (итоги) Аня,,,,FALSE,,,,
Polza HH,,Ру,,,Платный период (кпи),,,,1.9.24,,7,,,На паузе,,,,,,,,,FALSE,,,,
Polza Agency ENG,,Eng,,,,,,,,,7,,#N/A,На паузе,,Анна,,,,,,,FALSE,,,,
Polza Agency РУ,,Ру,,,,,,,,,15,,#N/A,В работе,Сергей фрил,Анна,,,,,,,FALSE,,,,
Польза партнерка,,Ру,,,,,,,,,,,,В работе,,Анна,,,,,,,FALSE,,,,
Польза тг аутрич,,Ру,,,,,,,,,,,1890,,,,,,,,,,FALSE,,,,
Telegram Outreach,,,,,,,,,,,,,,,,,,Коммент от Дениса,,,,,FALSE,,,,
Markway,репутационное агентство,Ру,Партнер Колди,Оплата 100%,"Первый запуск (2 мес работы, без кпи)",,149000,,30.10.25,29.12.25,,1,,В работе,Ксюша фрил,Денис,,,,,,,,,,,
Кадры онлайн,Подбор персонала,Ру,Партнер Колди,Оплата 100%,,,,,31.10.25,29.11.25,,5,,В работе,Ксюша фрил,Денис,,,,,,,,,,,
Polza,наш лидген,Ру,,,,,,,30.10.25,30.11.25,,27,,В работе,Денис,Денис,,,,,,,,,,,
FoF Video,видеопродакшн,Ру,,,,,,,3.12.25,,,1,,В работе,Ксюша фрил,Денис,12.12 (до 19.01),,,,,,,,,,
