company,inn
"ООО ""АГРОФИРМА ФАТ""",1502013608
"АО ""НАБЕРЕЖНОЧЕЛНИНСКИЙ ЭЛЕВАТОР""",1639004674
"ООО ""Р.О.С.Л.А.""",1639015404
"АО ""ЧЕЛНЫХЛЕБОПРОДУКТ""",1639004000
"ООО ""АВТОМАСТЕР""",1639003712
"ООО НПО ""НТЭС""",1645001671
"ОАО ""БУЛГАРПИВО""",1650008591
"АО ""НИЖНЕКАМСКТЕХУГЛЕРОД""",1651000041
"АО ""НМУ-3""",1651032131
"АО ""БУЛОЧНО-КОНДИТЕРСКИЙ КОМБИНАТ""",1657005938
"ООО ""ПТО ""МЕДТЕХНИКА""",1658021410
"АО ""КМИЗ""",1659012514
"АО ""ЗДРАВМЕДТЕХ-П""",1660043323
"ООО ""КЗССМ""",1661007864
"ООО ""НПП ""АВИАГАЗ-СОЮЗ+""",1661007688
"ООО ""ТАИФ-СТ""",1624005844
"АО ""АСПК""",1609000880
"ООО ""ЕЛАБУГА УКУПРПЛАСТ""",1646001353
"АО ""АЛАБУГА СОТЕ""",1646013662
"ОАО ""САРАПУЛЬСКИЙ ЛВЗ""",1827017683
"ОАО ""ТОРГОВЫЙ ДОМ ""ВОТКИНСКИЙ ЗАВОД""",1828001083
"ОАО ЛВЗ ""ГЛАЗОВСКИЙ""",1829013003
"ООО ""ГКЗ""",1829013726
"АО ""РЕММАШ""",1805001016
"АО ""ГЛАЗОВСКИЙ ЗАВОД МЕТАЛЛИСТ""",1829004048
"АО ""МОЖГИНСКИЙ ЛЕСОКОМБИНАТ""",1830000030
"АО ""МДП ""КРАСНАЯ ЗВЕЗДА""",1830000383
"ООО ""НОВЫЙ ДОМ""",1831057110
"ЗАО ИЗМФ ""ФМС""",1835030857
"АО ""АЯН""",1901003094
"АО ""ХАКАСВЗРЫВПРОМ""",1903006622
"ООО ""СУОР""",2127311917
"АО ""ЧХЗ №2""",2126000690
"АО ""ВОЛГА АЙС""",2127010300
"ОАО ""ТАРОУПАКОВКА""",2127007963
"ОАО ""ЧК""",2126000757
"АО ""ЧУВАШТОРГТЕХНИКА""",2128002220
"ОАО ""ЭЛЕКТРОПРИБОР""",2128002051
"ООО ""СУ-28""",2128042174
"ЗАО ""ХЛЕБОКОМБИНАТ ПЕТРОВСКИЙ""",2126000034
"ЗАО ""ССК ""ЧЕБОКСАРСКИЙ""",2128001770
"ООО ""СУ - 29""",2128042181
"ООО ""ЧЭТА""",2129042924
"АО ""СЗ ""ИНКОСТ""",2129003280
"ООО ""ХСН""",2129019210
"ООО ""ЖБК № 9""",2129043580
"АО ""ЧЭМЗ""",2129022734
"ООО ""АЛАТЫРСКАЯ БУМАЖНАЯ ФАБРИКА""",2122003073
"ООО ""ИЗВА""",2116491707
"ОАО ""ЯДРИНМОЛОКО""",2119000026
"ЗАО ""ПО ""СПЕЦАВТОМАТИКА""",2227005952
"ООО ""БЗС""",2227005374
"АО ""НОВОАЛТАЙСКИЙ ХЛЕБОКОМБИНАТ""",2208000525
"АО ""МЕЛЬНИК""",2209006093
"АО ""ЛИТКОМ ЛДВ""",2209023518
"ЗАО ""СМК""",2210005457
"ООО ""АЛТАЙХОЛОД""",2221003500
"ОАО ""КОМБИНАТ ""РУССКИЙ ХЛЕБ""",2222006462
"ООО ""РЕНЕССАНС КОСМЕТИК""",2223031197
"АО ""АЗА""",2225003220
"АО ""ИТКУЛЬСКИЙ СПИРТЗАВОД""",2245000523
"АО ""КУЛУНДАКОНСЕРВМОЛОКО""",2253000164
"ЗАО ""ВОЛЧИХИНСКИЙ ПИВЗАВОД""",2238000152
"АО ""КОРОТОЯКСКИЙ ЭЛЕВАТОР""",2286001269
"АО ""АНАПСКИЙ ХЛЕБОКОМБИНАТ""",2301018284
"ООО ""МЕТРОПОЛИС""",2302037667
"АО ""СЗ ""ДОМОСТРОИТЕЛЬ""",2302001526
"АО ""КУБАНЬЖЕЛДОРМАШ""",2302008722
"АО ""АЗРИ""",2302008970
"АО ""АЛЕКСАНДРИЯ""",2309009595
"АО ""КРАСНОДАРСКИЙ ЗАВОД ""НЕФТЕМАШ""",2308026372
"АО ""ОРЕХПРОМ""",2308060905
"ООО ""ТМЮ""",2308083966
"ООО ""БЕЛКРАС 999""",2309066219
"ООО ""ПК ""СТАНК""",2312058673
"ООО ""НСИ-ЮГ""",2312088075
"ООО ""МЕРИДИАН""",2313017101
"ЗАО ""АБРАУ-ДЮРСО""",2315092440
"ООО ""АТАКАЙЦЕМЕНТ""",2308080490
"АО ""ЛУЧАНО СОЧИ""",2319004363
"АО ""СОЧИГОРГАЗ""",2320032774
"ООО ""ЮГ-НОВЫЙ ВЕК""",2320092269
"АО ""СОЧИНСКИЙ МЯСОКОМБИНАТ""",2320019558
"АО ""КХП ""ТИХОРЕЦКИЙ""",2321003663
"ООО ФИРМА ""ТОРЕС""",2322020608
"ОАО ""АХТЫРСКИЙ ХЛЕБОЗАВОД""",2323009075
"АО ""ХМЗ""",2325006880
"ООО ""ЮЖНАЯ КОРОНА - БКЗ""",2327008107
"АО ""СИЛИКАТ""",2329003270
"АО ""КАНЕВСКСАХАР""",2334005403
"ООО ""КАНЕВСКОЙ ЗГА""",2334013965
"ООО ""ПЕРВОМАЙСКАЯ ИПС""",2341003252
"ОАО ""КРИСТАЛЛ-2""",2343000063
"АО ""НЗКСМ""",2343007647
"АО ""СЛАВЯНСКИЙ КИРПИЧ""",2349006287
"ОАО ТИККОМ ""КУБАНЬ""",2353005631
"АО ""ГАЛАКТИОН ФЛЕКС ПЭКЕДЖИНГ КУБАНЬ""",2353014851
"АО ""АР ПЭКЭДЖИНГ""",2353017002
"ООО ФИРМА ""КОМПЛЕКС-АГРО""",2356038113
"АО ""САХАРНЫЙ ЗАВОД ""СВОБОДА""",2356030749
"АО ""СПЕЦТЕХНОМАШ""",2411002738
"ООО КЗЛМК ""МАЯК""",2450014720
"АО ""МИНУСИНСКАЯ КОНДИТЕРСКАЯ ФАБРИКА""",2455007821
"ОАО ""МОЛОКО""",2455004154
"ООО ""МПЗ""",2455018862
"ООО ""ККЗ""",2462023415
"АО ""ХМЗ""",2464003340
"ЗАО ""ТЕХПОЛИМЕР""",2464035938
"АО ""СИБИНСТРЕМ""",2465002460
"ООО ""ДОК ""ЕНИСЕЙ""",2465071745
"АО ""СИБАГРОПРОМСТРОЙ""",2465050449
"АО ""КРАСКОН""",2466073336
"АО ""ИОНЕССИ""",2466015750
"АО ""ЗАВОД ЖБИ-3""",2502000488
"ЗАО ""СТС ТЕКНОВУД""",2528003758
"ОАО ""НМК""",2508001248
"АО ""УССУРИЙСКИЙ БАЛЬЗАМ""",2511003566
"АО ""ЗАВОД ВОЛНА""",2607008029
"ЗАО ""ЛИРА""",2632010335
"ЗАО ""ВК ""СТАРЫЙ ИСТОЧНИК""",2630024445
"ЗАО ""ХОЛОД""",2632013897
"АО ""ПЯТИГОРСКИЙ ХЛЕБОКОМБИНАТ""",2632004194
"ЗАО ""СТРОЙДЕТАЛЬ-2""",2632015284
"ОАО ""СТАВРОПОЛЬСКИЙ ПИВЗАВОД""",2634011101
"ООО ""МХП ""ОРИОН""",2634034758
"ООО ""ОРФЕЙ""",2636031417
"ООО ""РИСНА""",2635050287
"ОАО КПП ""КИРОВСКИЙ""",2609000314
"ОАО ""СЫРОДЕЛ""",2608000840
"ООО ""МЕРКУРИЙ-ДВ""",2710008537
"АО ""ХАБАРОВСК АВТОМОСТ""",2723907563
"ООО ""АМУРАГРОЦЕНТР""",2801081020
"ОАО ""БКФ ""ЗЕЯ""",2801002684
"АО ""БМК""",2801018878
"АО ""СК №1""",2801016951
"АО ""БАМСТРОЙМЕХАНИЗАЦИЯ""",2808001344
"ЗАОР ""НП ""АРХХЛЕБ""",2901009620
"АО ""КУЗНЕЧЕВСКИЙ КСКМ""",2901023416
"АО ""АЛВИЗ""",2900000293
"АО ""ДСМ""",2901034760
"АО ""БМК""",3124011000
"АО ""БЕЛГОРОДСКИЙ ЦЕМЕНТ""",3123003920
"АО ""ШМЗ""",3129000041
"ЗАО ""ТОМАРОВСКИЙ МЯСОКОМБИНАТ""",3121070086
"ЗАО ""ТОММОЛОКО""",3121070079
